PassengerId,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,22.0,1,0,7.25,0,1,0,0,1
1,1,38.0,1,0,71.2833,1,0,1,0,0
2,3,26.0,0,0,7.925,1,0,0,0,1
3,1,35.0,1,0,53.1,1,0,0,0,1
4,3,35.0,0,0,8.05,0,1,0,0,1
5,3,29.69911764705882,0,0,8.4583,0,1,0,1,0
6,1,54.0,0,0,51.8625,0,1,0,0,1
7,3,2.0,3,1,21.075,0,1,0,0,1
8,3,27.0,0,2,11.1333,1,0,0,0,1
9,2,14.0,1,0,30.0708,1,0,1,0,0
10,3,4.0,1,1,16.7,1,0,0,0,1
11,1,58.0,0,0,26.55,1,0,0,0,1
12,3,20.0,0,0,8.05,0,1,0,0,1
13,3,39.0,1,5,31.275,0,1,0,0,1
14,3,14.0,0,0,7.8542,1,0,0,0,1
15,2,55.0,0,0,16.0,1,0,0,0,1
16,3,2.0,4,1,29.125,0,1,0,1,0
17,2,29.69911764705882,0,0,13.0,0,1,0,0,1
18,3,31.0,1,0,18.0,1,0,0,0,1
19,3,29.69911764705882,0,0,7.225,1,0,1,0,0
20,2,35.0,0,0,26.0,0,1,0,0,1
21,2,34.0,0,0,13.0,0,1,0,0,1
22,3,15.0,0,0,8.0292,1,0,0,1,0
23,1,28.0,0,0,35.5,0,1,0,0,1
24,3,8.0,3,1,21.075,1,0,0,0,1
25,3,38.0,1,5,31.3875,1,0,0,0,1
26,3,29.69911764705882,0,0,7.225,0,1,1,0,0
27,1,19.0,3,2,263.0,0,1,0,0,1
28,3,29.69911764705882,0,0,7.8792,1,0,0,1,0
29,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
30,1,40.0,0,0,27.7208,0,1,1,0,0
31,1,29.69911764705882,1,0,146.5208,1,0,1,0,0
32,3,29.69911764705882,0,0,7.75,1,0,0,1,0
33,2,66.0,0,0,10.5,0,1,0,0,1
34,1,28.0,1,0,82.1708,0,1,1,0,0
35,1,42.0,1,0,52.0,0,1,0,0,1
36,3,29.69911764705882,0,0,7.2292,0,1,1,0,0
37,3,21.0,0,0,8.05,0,1,0,0,1
38,3,18.0,2,0,18.0,1,0,0,0,1
39,3,14.0,1,0,11.2417,1,0,1,0,0
40,3,40.0,1,0,9.475,1,0,0,0,1
41,2,27.0,1,0,21.0,1,0,0,0,1
42,3,29.69911764705882,0,0,7.8958,0,1,1,0,0
43,2,3.0,1,2,41.5792,1,0,1,0,0
44,3,19.0,0,0,7.8792,1,0,0,1,0
45,3,29.69911764705882,0,0,8.05,0,1,0,0,1
46,3,29.69911764705882,1,0,15.5,0,1,0,1,0
47,3,29.69911764705882,0,0,7.75,1,0,0,1,0
48,3,29.69911764705882,2,0,21.6792,0,1,1,0,0
49,3,18.0,1,0,17.8,1,0,0,0,1
50,3,7.0,4,1,39.6875,0,1,0,0,1
51,3,21.0,0,0,7.8,0,1,0,0,1
52,1,49.0,1,0,76.7292,1,0,1,0,0
53,2,29.0,1,0,26.0,1,0,0,0,1
54,1,65.0,0,1,61.9792,0,1,1,0,0
55,1,29.69911764705882,0,0,35.5,0,1,0,0,1
56,2,21.0,0,0,10.5,1,0,0,0,1
57,3,28.5,0,0,7.2292,0,1,1,0,0
58,2,5.0,1,2,27.75,1,0,0,0,1
59,3,11.0,5,2,46.9,0,1,0,0,1
60,3,22.0,0,0,7.2292,0,1,1,0,0
61,1,38.0,0,0,80.0,1,0,0,0,1
62,1,45.0,1,0,83.475,0,1,0,0,1
63,3,4.0,3,2,27.9,0,1,0,0,1
64,1,29.69911764705882,0,0,27.7208,0,1,1,0,0
65,3,29.69911764705882,1,1,15.2458,0,1,1,0,0
66,2,29.0,0,0,10.5,1,0,0,0,1
67,3,19.0,0,0,8.1583,0,1,0,0,1
68,3,17.0,4,2,7.925,1,0,0,0,1
69,3,26.0,2,0,8.6625,0,1,0,0,1
70,2,32.0,0,0,10.5,0,1,0,0,1
71,3,16.0,5,2,46.9,1,0,0,0,1
72,2,21.0,0,0,73.5,0,1,0,0,1
73,3,26.0,1,0,14.4542,0,1,1,0,0
74,3,32.0,0,0,56.4958,0,1,0,0,1
75,3,25.0,0,0,7.65,0,1,0,0,1
76,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
77,3,29.69911764705882,0,0,8.05,0,1,0,0,1
78,2,0.83,0,2,29.0,0,1,0,0,1
79,3,30.0,0,0,12.475,1,0,0,0,1
80,3,22.0,0,0,9.0,0,1,0,0,1
81,3,29.0,0,0,9.5,0,1,0,0,1
82,3,29.69911764705882,0,0,7.7875,1,0,0,1,0
83,1,28.0,0,0,47.1,0,1,0,0,1
84,2,17.0,0,0,10.5,1,0,0,0,1
85,3,33.0,3,0,15.85,1,0,0,0,1
86,3,16.0,1,3,34.375,0,1,0,0,1
87,3,29.69911764705882,0,0,8.05,0,1,0,0,1
88,1,23.0,3,2,263.0,1,0,0,0,1
89,3,24.0,0,0,8.05,0,1,0,0,1
90,3,29.0,0,0,8.05,0,1,0,0,1
91,3,20.0,0,0,7.8542,0,1,0,0,1
92,1,46.0,1,0,61.175,0,1,0,0,1
93,3,26.0,1,2,20.575,0,1,0,0,1
94,3,59.0,0,0,7.25,0,1,0,0,1
95,3,29.69911764705882,0,0,8.05,0,1,0,0,1
96,1,71.0,0,0,34.6542,0,1,1,0,0
97,1,23.0,0,1,63.3583,0,1,1,0,0
98,2,34.0,0,1,23.0,1,0,0,0,1
99,2,34.0,1,0,26.0,0,1,0,0,1
100,3,28.0,0,0,7.8958,1,0,0,0,1
101,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
102,1,21.0,0,1,77.2875,0,1,0,0,1
103,3,33.0,0,0,8.6542,0,1,0,0,1
104,3,37.0,2,0,7.925,0,1,0,0,1
105,3,28.0,0,0,7.8958,0,1,0,0,1
106,3,21.0,0,0,7.65,1,0,0,0,1
107,3,29.69911764705882,0,0,7.775,0,1,0,0,1
108,3,38.0,0,0,7.8958,0,1,0,0,1
109,3,29.69911764705882,1,0,24.15,1,0,0,1,0
110,1,47.0,0,0,52.0,0,1,0,0,1
111,3,14.5,1,0,14.4542,1,0,1,0,0
112,3,22.0,0,0,8.05,0,1,0,0,1
113,3,20.0,1,0,9.825,1,0,0,0,1
114,3,17.0,0,0,14.4583,1,0,1,0,0
115,3,21.0,0,0,7.925,0,1,0,0,1
116,3,70.5,0,0,7.75,0,1,0,1,0
117,2,29.0,1,0,21.0,0,1,0,0,1
118,1,24.0,0,1,247.5208,0,1,1,0,0
119,3,2.0,4,2,31.275,1,0,0,0,1
120,2,21.0,2,0,73.5,0,1,0,0,1
121,3,29.69911764705882,0,0,8.05,0,1,0,0,1
122,2,32.5,1,0,30.0708,0,1,1,0,0
123,2,32.5,0,0,13.0,1,0,0,0,1
124,1,54.0,0,1,77.2875,0,1,0,0,1
125,3,12.0,1,0,11.2417,0,1,1,0,0
126,3,29.69911764705882,0,0,7.75,0,1,0,1,0
127,3,24.0,0,0,7.1417,0,1,0,0,1
128,3,29.69911764705882,1,1,22.3583,1,0,1,0,0
129,3,45.0,0,0,6.975,0,1,0,0,1
130,3,33.0,0,0,7.8958,0,1,1,0,0
131,3,20.0,0,0,7.05,0,1,0,0,1
132,3,47.0,1,0,14.5,1,0,0,0,1
133,2,29.0,1,0,26.0,1,0,0,0,1
134,2,25.0,0,0,13.0,0,1,0,0,1
135,2,23.0,0,0,15.0458,0,1,1,0,0
136,1,19.0,0,2,26.2833,1,0,0,0,1
137,1,37.0,1,0,53.1,0,1,0,0,1
138,3,16.0,0,0,9.2167,0,1,0,0,1
139,1,24.0,0,0,79.2,0,1,1,0,0
140,3,29.69911764705882,0,2,15.2458,1,0,1,0,0
141,3,22.0,0,0,7.75,1,0,0,0,1
142,3,24.0,1,0,15.85,1,0,0,0,1
143,3,19.0,0,0,6.75,0,1,0,1,0
144,2,18.0,0,0,11.5,0,1,0,0,1
145,2,19.0,1,1,36.75,0,1,0,0,1
146,3,27.0,0,0,7.7958,0,1,0,0,1
147,3,9.0,2,2,34.375,1,0,0,0,1
148,2,36.5,0,2,26.0,0,1,0,0,1
149,2,42.0,0,0,13.0,0,1,0,0,1
150,2,51.0,0,0,12.525,0,1,0,0,1
151,1,22.0,1,0,66.6,1,0,0,0,1
152,3,55.5,0,0,8.05,0,1,0,0,1
153,3,40.5,0,2,14.5,0,1,0,0,1
154,3,29.69911764705882,0,0,7.3125,0,1,0,0,1
155,1,51.0,0,1,61.3792,0,1,1,0,0
156,3,16.0,0,0,7.7333,1,0,0,1,0
157,3,30.0,0,0,8.05,0,1,0,0,1
158,3,29.69911764705882,0,0,8.6625,0,1,0,0,1
159,3,29.69911764705882,8,2,69.55,0,1,0,0,1
160,3,44.0,0,1,16.1,0,1,0,0,1
161,2,40.0,0,0,15.75,1,0,0,0,1
162,3,26.0,0,0,7.775,0,1,0,0,1
163,3,17.0,0,0,8.6625,0,1,0,0,1
164,3,1.0,4,1,39.6875,0,1,0,0,1
165,3,9.0,0,2,20.525,0,1,0,0,1
166,1,29.69911764705882,0,1,55.0,1,0,0,0,1
167,3,45.0,1,4,27.9,1,0,0,0,1
168,1,29.69911764705882,0,0,25.925,0,1,0,0,1
169,3,28.0,0,0,56.4958,0,1,0,0,1
170,1,61.0,0,0,33.5,0,1,0,0,1
171,3,4.0,4,1,29.125,0,1,0,1,0
172,3,1.0,1,1,11.1333,1,0,0,0,1
173,3,21.0,0,0,7.925,0,1,0,0,1
174,1,56.0,0,0,30.6958,0,1,1,0,0
175,3,18.0,1,1,7.8542,0,1,0,0,1
176,3,29.69911764705882,3,1,25.4667,0,1,0,0,1
177,1,50.0,0,0,28.7125,1,0,1,0,0
178,2,30.0,0,0,13.0,0,1,0,0,1
179,3,36.0,0,0,0.0,0,1,0,0,1
180,3,29.69911764705882,8,2,69.55,1,0,0,0,1
181,2,29.69911764705882,0,0,15.05,0,1,1,0,0
182,3,9.0,4,2,31.3875,0,1,0,0,1
183,2,1.0,2,1,39.0,0,1,0,0,1
184,3,4.0,0,2,22.025,1,0,0,0,1
185,1,29.69911764705882,0,0,50.0,0,1,0,0,1
186,3,29.69911764705882,1,0,15.5,1,0,0,1,0
187,1,45.0,0,0,26.55,0,1,0,0,1
188,3,40.0,1,1,15.5,0,1,0,1,0
189,3,36.0,0,0,7.8958,0,1,0,0,1
190,2,32.0,0,0,13.0,1,0,0,0,1
191,2,19.0,0,0,13.0,0,1,0,0,1
192,3,19.0,1,0,7.8542,1,0,0,0,1
193,2,3.0,1,1,26.0,0,1,0,0,1
194,1,44.0,0,0,27.7208,1,0,1,0,0
195,1,58.0,0,0,146.5208,1,0,1,0,0
196,3,29.69911764705882,0,0,7.75,0,1,0,1,0
197,3,42.0,0,1,8.4042,0,1,0,0,1
198,3,29.69911764705882,0,0,7.75,1,0,0,1,0
199,2,24.0,0,0,13.0,1,0,0,0,1
200,3,28.0,0,0,9.5,0,1,0,0,1
201,3,29.69911764705882,8,2,69.55,0,1,0,0,1
202,3,34.0,0,0,6.4958,0,1,0,0,1
203,3,45.5,0,0,7.225,0,1,1,0,0
204,3,18.0,0,0,8.05,0,1,0,0,1
205,3,2.0,0,1,10.4625,1,0,0,0,1
206,3,32.0,1,0,15.85,0,1,0,0,1
207,3,26.0,0,0,18.7875,0,1,1,0,0
208,3,16.0,0,0,7.75,1,0,0,1,0
209,1,40.0,0,0,31.0,0,1,1,0,0
210,3,24.0,0,0,7.05,0,1,0,0,1
211,2,35.0,0,0,21.0,1,0,0,0,1
212,3,22.0,0,0,7.25,0,1,0,0,1
213,2,30.0,0,0,13.0,0,1,0,0,1
214,3,29.69911764705882,1,0,7.75,0,1,0,1,0
215,1,31.0,1,0,113.275,1,0,1,0,0
216,3,27.0,0,0,7.925,1,0,0,0,1
217,2,42.0,1,0,27.0,0,1,0,0,1
218,1,32.0,0,0,76.2917,1,0,1,0,0
219,2,30.0,0,0,10.5,0,1,0,0,1
220,3,16.0,0,0,8.05,0,1,0,0,1
221,2,27.0,0,0,13.0,0,1,0,0,1
222,3,51.0,0,0,8.05,0,1,0,0,1
223,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
224,1,38.0,1,0,90.0,0,1,0,0,1
225,3,22.0,0,0,9.35,0,1,0,0,1
226,2,19.0,0,0,10.5,0,1,0,0,1
227,3,20.5,0,0,7.25,0,1,0,0,1
228,2,18.0,0,0,13.0,0,1,0,0,1
229,3,29.69911764705882,3,1,25.4667,1,0,0,0,1
230,1,35.0,1,0,83.475,1,0,0,0,1
231,3,29.0,0,0,7.775,0,1,0,0,1
232,2,59.0,0,0,13.5,0,1,0,0,1
233,3,5.0,4,2,31.3875,1,0,0,0,1
234,2,24.0,0,0,10.5,0,1,0,0,1
235,3,29.69911764705882,0,0,7.55,1,0,0,0,1
236,2,44.0,1,0,26.0,0,1,0,0,1
237,2,8.0,0,2,26.25,1,0,0,0,1
238,2,19.0,0,0,10.5,0,1,0,0,1
239,2,33.0,0,0,12.275,0,1,0,0,1
240,3,29.69911764705882,1,0,14.4542,1,0,1,0,0
241,3,29.69911764705882,1,0,15.5,1,0,0,1,0
242,2,29.0,0,0,10.5,0,1,0,0,1
243,3,22.0,0,0,7.125,0,1,0,0,1
244,3,30.0,0,0,7.225,0,1,1,0,0
245,1,44.0,2,0,90.0,0,1,0,1,0
246,3,25.0,0,0,7.775,1,0,0,0,1
247,2,24.0,0,2,14.5,1,0,0,0,1
248,1,37.0,1,1,52.5542,0,1,0,0,1
249,2,54.0,1,0,26.0,0,1,0,0,1
250,3,29.69911764705882,0,0,7.25,0,1,0,0,1
251,3,29.0,1,1,10.4625,1,0,0,0,1
252,1,62.0,0,0,26.55,0,1,0,0,1
253,3,30.0,1,0,16.1,0,1,0,0,1
254,3,41.0,0,2,20.2125,1,0,0,0,1
255,3,29.0,0,2,15.2458,1,0,1,0,0
256,1,29.69911764705882,0,0,79.2,1,0,1,0,0
257,1,30.0,0,0,86.5,1,0,0,0,1
258,1,35.0,0,0,512.3292,1,0,1,0,0
259,2,50.0,0,1,26.0,1,0,0,0,1
260,3,29.69911764705882,0,0,7.75,0,1,0,1,0
261,3,3.0,4,2,31.3875,0,1,0,0,1
262,1,52.0,1,1,79.65,0,1,0,0,1
263,1,40.0,0,0,0.0,0,1,0,0,1
264,3,29.69911764705882,0,0,7.75,1,0,0,1,0
265,2,36.0,0,0,10.5,0,1,0,0,1
266,3,16.0,4,1,39.6875,0,1,0,0,1
267,3,25.0,1,0,7.775,0,1,0,0,1
268,1,58.0,0,1,153.4625,1,0,0,0,1
269,1,35.0,0,0,135.6333,1,0,0,0,1
270,1,29.69911764705882,0,0,31.0,0,1,0,0,1
271,3,25.0,0,0,0.0,0,1,0,0,1
272,2,41.0,0,1,19.5,1,0,0,0,1
273,1,37.0,0,1,29.7,0,1,1,0,0
274,3,29.69911764705882,0,0,7.75,1,0,0,1,0
275,1,63.0,1,0,77.9583,1,0,0,0,1
276,3,45.0,0,0,7.75,1,0,0,0,1
277,2,29.69911764705882,0,0,0.0,0,1,0,0,1
278,3,7.0,4,1,29.125,0,1,0,1,0
279,3,35.0,1,1,20.25,1,0,0,0,1
280,3,65.0,0,0,7.75,0,1,0,1,0
281,3,28.0,0,0,7.8542,0,1,0,0,1
282,3,16.0,0,0,9.5,0,1,0,0,1
283,3,19.0,0,0,8.05,0,1,0,0,1
284,1,29.69911764705882,0,0,26.0,0,1,0,0,1
285,3,33.0,0,0,8.6625,0,1,1,0,0
286,3,30.0,0,0,9.5,0,1,0,0,1
287,3,22.0,0,0,7.8958,0,1,0,0,1
288,2,42.0,0,0,13.0,0,1,0,0,1
289,3,22.0,0,0,7.75,1,0,0,1,0
290,1,26.0,0,0,78.85,1,0,0,0,1
291,1,19.0,1,0,91.0792,1,0,1,0,0
292,2,36.0,0,0,12.875,0,1,1,0,0
293,3,24.0,0,0,8.85,1,0,0,0,1
294,3,24.0,0,0,7.8958,0,1,0,0,1
295,1,29.69911764705882,0,0,27.7208,0,1,1,0,0
296,3,23.5,0,0,7.2292,0,1,1,0,0
297,1,2.0,1,2,151.55,1,0,0,0,1
298,1,29.69911764705882,0,0,30.5,0,1,0,0,1
299,1,50.0,0,1,247.5208,1,0,1,0,0
300,3,29.69911764705882,0,0,7.75,1,0,0,1,0
301,3,29.69911764705882,2,0,23.25,0,1,0,1,0
302,3,19.0,0,0,0.0,0,1,0,0,1
303,2,29.69911764705882,0,0,12.35,1,0,0,1,0
304,3,29.69911764705882,0,0,8.05,0,1,0,0,1
305,1,0.92,1,2,151.55,0,1,0,0,1
306,1,29.69911764705882,0,0,110.8833,1,0,1,0,0
307,1,17.0,1,0,108.9,1,0,1,0,0
308,2,30.0,1,0,24.0,0,1,1,0,0
309,1,30.0,0,0,56.9292,1,0,1,0,0
310,1,24.0,0,0,83.1583,1,0,1,0,0
311,1,18.0,2,2,262.375,1,0,1,0,0
312,2,26.0,1,1,26.0,1,0,0,0,1
313,3,28.0,0,0,7.8958,0,1,0,0,1
314,2,43.0,1,1,26.25,0,1,0,0,1
315,3,26.0,0,0,7.8542,1,0,0,0,1
316,2,24.0,1,0,26.0,1,0,0,0,1
317,2,54.0,0,0,14.0,0,1,0,0,1
318,1,31.0,0,2,164.8667,1,0,0,0,1
319,1,40.0,1,1,134.5,1,0,1,0,0
320,3,22.0,0,0,7.25,0,1,0,0,1
321,3,27.0,0,0,7.8958,0,1,0,0,1
322,2,30.0,0,0,12.35,1,0,0,1,0
323,2,22.0,1,1,29.0,1,0,0,0,1
324,3,29.69911764705882,8,2,69.55,0,1,0,0,1
325,1,36.0,0,0,135.6333,1,0,1,0,0
326,3,61.0,0,0,6.2375,0,1,0,0,1
327,2,36.0,0,0,13.0,1,0,0,0,1
328,3,31.0,1,1,20.525,1,0,0,0,1
329,1,16.0,0,1,57.9792,1,0,1,0,0
330,3,29.69911764705882,2,0,23.25,1,0,0,1,0
331,1,45.5,0,0,28.5,0,1,0,0,1
332,1,38.0,0,1,153.4625,0,1,0,0,1
333,3,16.0,2,0,18.0,0,1,0,0,1
334,1,29.69911764705882,1,0,133.65,1,0,0,0,1
335,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
336,1,29.0,1,0,66.6,0,1,0,0,1
337,1,41.0,0,0,134.5,1,0,1,0,0
338,3,45.0,0,0,8.05,0,1,0,0,1
339,1,45.0,0,0,35.5,0,1,0,0,1
340,2,2.0,1,1,26.0,0,1,0,0,1
341,1,24.0,3,2,263.0,1,0,0,0,1
342,2,28.0,0,0,13.0,0,1,0,0,1
343,2,25.0,0,0,13.0,0,1,0,0,1
344,2,36.0,0,0,13.0,0,1,0,0,1
345,2,24.0,0,0,13.0,1,0,0,0,1
346,2,40.0,0,0,13.0,1,0,0,0,1
347,3,29.69911764705882,1,0,16.1,1,0,0,0,1
348,3,3.0,1,1,15.9,0,1,0,0,1
349,3,42.0,0,0,8.6625,0,1,0,0,1
350,3,23.0,0,0,9.225,0,1,0,0,1
351,1,29.69911764705882,0,0,35.0,0,1,0,0,1
352,3,15.0,1,1,7.2292,0,1,1,0,0
353,3,25.0,1,0,17.8,0,1,0,0,1
354,3,29.69911764705882,0,0,7.225,0,1,1,0,0
355,3,28.0,0,0,9.5,0,1,0,0,1
356,1,22.0,0,1,55.0,1,0,0,0,1
357,2,38.0,0,0,13.0,1,0,0,0,1
358,3,29.69911764705882,0,0,7.8792,1,0,0,1,0
359,3,29.69911764705882,0,0,7.8792,1,0,0,1,0
360,3,40.0,1,4,27.9,0,1,0,0,1
361,2,29.0,1,0,27.7208,0,1,1,0,0
362,3,45.0,0,1,14.4542,1,0,1,0,0
363,3,35.0,0,0,7.05,0,1,0,0,1
364,3,29.69911764705882,1,0,15.5,0,1,0,1,0
365,3,30.0,0,0,7.25,0,1,0,0,1
366,1,60.0,1,0,75.25,1,0,1,0,0
367,3,29.69911764705882,0,0,7.2292,1,0,1,0,0
368,3,29.69911764705882,0,0,7.75,1,0,0,1,0
369,1,24.0,0,0,69.3,1,0,1,0,0
370,1,25.0,1,0,55.4417,0,1,1,0,0
371,3,18.0,1,0,6.4958,0,1,0,0,1
372,3,19.0,0,0,8.05,0,1,0,0,1
373,1,22.0,0,0,135.6333,0,1,1,0,0
374,3,3.0,3,1,21.075,1,0,0,0,1
375,1,29.69911764705882,1,0,82.1708,1,0,1,0,0
376,3,22.0,0,0,7.25,1,0,0,0,1
377,1,27.0,0,2,211.5,0,1,1,0,0
378,3,20.0,0,0,4.0125,0,1,1,0,0
379,3,19.0,0,0,7.775,0,1,0,0,1
380,1,42.0,0,0,227.525,1,0,1,0,0
381,3,1.0,0,2,15.7417,1,0,1,0,0
382,3,32.0,0,0,7.925,0,1,0,0,1
383,1,35.0,1,0,52.0,1,0,0,0,1
384,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
385,2,18.0,0,0,73.5,0,1,0,0,1
386,3,1.0,5,2,46.9,0,1,0,0,1
387,2,36.0,0,0,13.0,1,0,0,0,1
388,3,29.69911764705882,0,0,7.7292,0,1,0,1,0
389,2,17.0,0,0,12.0,1,0,1,0,0
390,1,36.0,1,2,120.0,0,1,0,0,1
391,3,21.0,0,0,7.7958,0,1,0,0,1
392,3,28.0,2,0,7.925,0,1,0,0,1
393,1,23.0,1,0,113.275,1,0,1,0,0
394,3,24.0,0,2,16.7,1,0,0,0,1
395,3,22.0,0,0,7.7958,0,1,0,0,1
396,3,31.0,0,0,7.8542,1,0,0,0,1
397,2,46.0,0,0,26.0,0,1,0,0,1
398,2,23.0,0,0,10.5,0,1,0,0,1
399,2,28.0,0,0,12.65,1,0,0,0,1
400,3,39.0,0,0,7.925,0,1,0,0,1
401,3,26.0,0,0,8.05,0,1,0,0,1
402,3,21.0,1,0,9.825,1,0,0,0,1
403,3,28.0,1,0,15.85,0,1,0,0,1
404,3,20.0,0,0,8.6625,1,0,0,0,1
405,2,34.0,1,0,21.0,0,1,0,0,1
406,3,51.0,0,0,7.75,0,1,0,0,1
407,2,3.0,1,1,18.75,0,1,0,0,1
408,3,21.0,0,0,7.775,0,1,0,0,1
409,3,29.69911764705882,3,1,25.4667,1,0,0,0,1
410,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
411,3,29.69911764705882,0,0,6.8583,0,1,0,1,0
412,1,33.0,1,0,90.0,1,0,0,1,0
413,2,29.69911764705882,0,0,0.0,0,1,0,0,1
414,3,44.0,0,0,7.925,0,1,0,0,1
415,3,29.69911764705882,0,0,8.05,1,0,0,0,1
416,2,34.0,1,1,32.5,1,0,0,0,1
417,2,18.0,0,2,13.0,1,0,0,0,1
418,2,30.0,0,0,13.0,0,1,0,0,1
419,3,10.0,0,2,24.15,1,0,0,0,1
420,3,29.69911764705882,0,0,7.8958,0,1,1,0,0
421,3,21.0,0,0,7.7333,0,1,0,1,0
422,3,29.0,0,0,7.875,0,1,0,0,1
423,3,28.0,1,1,14.4,1,0,0,0,1
424,3,18.0,1,1,20.2125,0,1,0,0,1
425,3,29.69911764705882,0,0,7.25,0,1,0,0,1
426,2,28.0,1,0,26.0,1,0,0,0,1
427,2,19.0,0,0,26.0,1,0,0,0,1
428,3,29.69911764705882,0,0,7.75,0,1,0,1,0
429,3,32.0,0,0,8.05,0,1,0,0,1
430,1,28.0,0,0,26.55,0,1,0,0,1
431,3,29.69911764705882,1,0,16.1,1,0,0,0,1
432,2,42.0,1,0,26.0,1,0,0,0,1
433,3,17.0,0,0,7.125,0,1,0,0,1
434,1,50.0,1,0,55.9,0,1,0,0,1
435,1,14.0,1,2,120.0,1,0,0,0,1
436,3,21.0,2,2,34.375,1,0,0,0,1
437,2,24.0,2,3,18.75,1,0,0,0,1
438,1,64.0,1,4,263.0,0,1,0,0,1
439,2,31.0,0,0,10.5,0,1,0,0,1
440,2,45.0,1,1,26.25,1,0,0,0,1
441,3,20.0,0,0,9.5,0,1,0,0,1
442,3,25.0,1,0,7.775,0,1,0,0,1
443,2,28.0,0,0,13.0,1,0,0,0,1
444,3,29.69911764705882,0,0,8.1125,0,1,0,0,1
445,1,4.0,0,2,81.8583,0,1,0,0,1
